artist_id,artist_name
13228424,国丞
2874,顾峰
2981,葛平
2856,高枫
2862,龚一
13056443,高茂桐
13059433,甘俊
12332258,郭麒麟
2867,哏德全
13059434,GIGEL张津铭
1081301,Yehudi Too
2945,歌浴森
3007,郭少杰
2851,郭子
2846,高明骏
1049033,高铭
1043146,光合唱片
820439,谷柏杉
2872,关德辉
2962,格茸农布
3020,过江龙
12165051,高心远
12289019,郭一恒
2979,格杰白玛
2847,郭伟亮
12998047,郭思达
11975240,郭俊辰
2928,高夫
12023557,高旗
2885,光头李进
1132850,顾稚蔚
2969,关泽楠
2841,高晓松
12475595,高晓攀
27695695,国哥
14101443,郭阳
2875,郭浩男
975574,GrymeMan
2878,顾海滨
12154162,高赫
3042,高正洋
2844,古天乐
1053246,郭纯
905095,嘎玛西周
2857,高凌风
2871,广智
12262021,宫俊
1049027,郭京飞
2887,高向鹏
12274269,高华阳
861441,GBZ
908209,Gordon扬豆仔
839567,GZ
1038338,Gatsby in a Daze
3031,关栋天
2946,刮刮乐
2912,郭炳坚
12931831,高火火
3029,高信
2890,恭硕良
2911,郭颂
1087558,郭赛伟
2968,轨道
13497261,谷江山
1132304,郭好为
2960,高韶青
2899,关贵敏
12197292,高泰宇
861777,华晨宇
3066,胡彦斌
3249,河图
3064,胡歌
12773144,韩沐伯
3273,胡夏
3058,后弦
1049179,Hanser
12065096,黄旭
3348,回音哥
13059437,黄新淳
3071,郝云
3255,黄渤
13059435,何东东
3415,霍尊
3081,胡伟立
1006030,洪尘
3073,黄凯芹
3072,韩磊
3118,黑龙
1068009,前后动机直升机组合
3256,黄明志
1081579,黄雨篱
1045031,黄立纲
3079,黄品源
1049349,胡碧乔
1011192,黑羊
3059,黄霑
3086,海鸣威
1025202,黄子韬
3337,黄艺明
12488022,黄榕生
3322,黄英华
3307,晃儿
3063,黄义达
3094,黄晓明
13057492,侯浩然
3181,贺一航
13056448,黄书豪
3146,侯旭
12598950,RA
3082,黄安
3311,海生
3090,何炅
3080,黄贯中
13056444,韩雍杰
3272,韩庚
3120,霍建华
1040132,黄超
3126,黄宗泽
3069,洪启
3116,黄家强
3061,黄磊
3093,黄征
1181165,何大河
3250,火风
1019154,黄礼格
3259,呼斯楞
789450,何山
12598388,胡蒎
1177014,韩安旭
3330,胡鸿钧
3121,黄阅
839761,何流
12487019,洪雨雷
3261,浩瀚
1182797,浩天
3065,黄立行
1006027,涵昱
3056,胡德夫
3378,何崇志
1041087,罗一四
3112,何润东
3123,黄国俊
13059436,何嘉庚
1081256,和弦
3162,胡兵
3276,何晟铭
3068,黄大炜
12796041,胡一天
3070,黄玠
14100082,黄圣池
94064,Howie Lee
223221,陈斐
12914019,海馬WAVE$
3096,贺西格
1039086,何星烁RapStar
13056445,Hook于浩
13058490,胡致邦
12164075,黄景瑜
3404,贺一航
3055,何勇
3075,何训田
11880,H.K.君(HEROAR)
3421,黄勇
12049237,韩东君
3078,黄伟文
3074,杭天
3217,哈孜肯
3317,灰原穷
11975111,ilem
1038374,iMoon
11987075,impossibleChuck
1132544,Iceloki
956418,InfiniteMusic
29356237,illusory李虚无
1047333,iCsuo
1039978,ilham丁丁
900332,imeatART
12947494,itmusicstudio
133386,INK
1031042,ibinbao
1083022,iimmune
1039393,IMAGINE
1049076,Inspiration Crowd
1031052,Impractical Scraps
28390292,Ian Yu
29148246,IA
3438,iiiis
12263528,Imc王辰
1050737,Ilya Ai Wei
1039395,IANNE
28085491,ianbird 吴冠亨
1161208,Izumi koga
1000135,"I,Defiance"
13738116,ins白日说唱家
233211,INTI
1081840,irevan
820494,Inbellum
1044068,IMCUICUI
13707529,IL CANTO
13430213,Infernal Chaos
3445,Intangible Ism
166014,金志文
13057497,Justin
5001,简弘亦
3535,Jason Chen
188694,蒋家驹（蒋蒋）
3459,姜玉阳
827163,金贵晟
190079,家家
3456,姜育恒
789380,J-Sleeper性感的拖鞋
1071076,姜贰拾
28085561,Jason王威登
3453,蒋志光
3558,蒋明
1047078,江南诚
3452,蒋大为
13059443,J-ONE
3526,JR Fog
3464,江涛
13059438,伽里
3466,姜鹏
187010,J. Sheon
1063007,居来
13059442,姜京佐
3450,几米
13056451,靖佩瑶
1106073,贾乃亮
3528,靳松
3537,鞠起
3498,金学峰
905426,金润吉
13226406,JK LEE
3539,井柏然
3536,金培达
1097081,JK.Chen
